,city_numeric,street_numeric,area,number_of_rooms,floors,floor,price_per_square_m,total_price,build_year,0heating,Aeroterminis,Autonominis,Centrinis,Centrinis-kolektorinis,Dujinis,Elektrinis,Kietu kuru,Kitas,0furnishment,Dalinė apdaila,Neįrengtas / Statomas,Pilnai įrengtas,Reikalingas remontas,Suremontuotas,Tvarkingas,0building,Blokinis,Karkasinis,Medinis,Monolitas,Mūrinis
1142,93,163,45.0,3,2,1,4533.33,204000.0,2021,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
1143,109,562,61.61,3,5,1,2037.01,125500.0,1980,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1144,23,219,63.0,2,34,29,2539.68,160000.0,2009,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
1145,47,47,90.0,4,10,4,1000.0,90000.0,1991,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
1146,42,537,70.0,3,3,2,3055.0,213850.0,2022,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1147,42,537,53.0,2,3,1,2981.13,158000.0,2022,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1148,109,517,48.45,2,4,2,8255.93,400000.0,2020,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1149,116,315,42.69,2,5,4,1599.91,68300.0,1963,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1150,116,233,81.66,4,5,2,1102.13,90000.0,1975,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1151,65,367,62.05,3,5,4,449.64,27900.0,1976,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1152,42,389,128.85,3,3,3,970.12,125000.0,1999,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1153,47,434,64.0,3,5,4,1171.88,75000.0,1971,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
1154,42,539,299.27,8,5,5,832.02,249000.0,1961,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
1155,42,389,109.49,3,3,1,821.98,89999.0,1989,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1156,56,235,64.61,3,5,1,681.01,44000.0,1971,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
1157,47,514,54.0,2,5,3,1388.89,75000.0,1984,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
1158,116,547,50.2,2,5,1,1093.63,54900.0,1970,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1159,42,494,43.28,2,2,2,2303.6,99700.0,1963,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1160,91,258,190.0,5,4,4,815.79,155000.0,1960,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
1161,47,227,33.0,1,5,4,1621.21,53500.0,1995,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
1162,7,44,34.0,1,5,5,1088.24,37000.0,1966,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
1163,47,528,89.0,3,4,2,1752.81,156000.0,1989,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
1164,12,182,44.33,2,2,2,674.49,29900.0,1967,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1165,42,317,70.7,4,4,4,1202.26,85000.0,1922,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
1166,109,244,30.47,2,1,1,1476.86,45000.0,1940,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1167,7,44,33.0,1,5,2,1360.61,44900.0,1973,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
1168,109,40,42.73,2,3,1,2457.29,105000.0,2022,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1169,109,40,29.5,1,3,2,2372.88,70000.0,2022,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1170,47,77,99.0,4,3,1,1565.66,155000.0,1930,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1171,47,27,30.0,2,2,1,633.33,19000.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
